County,County_code,Year,Zip,num_tests,under_5_mcg_dL,5_10_mcg_dL,10_15_mcg_dL,over_15_mcg_dL,total_elevated,percent_elevated,rate_per_1000,zip_location,county_location
Jefferson,45,2004,13685,6,NA,NA,0,0,0,0,0,"(43.943471, -76.111664)","(44.0607, -75.9928)"
Clinton,19,2000,12934,16,NA,NA,0,0,0,0,0,"(44.829883, -73.859154)","(44.75271, -73.705648)"
St. Lawrence,89,2012,13662,155,148,7,0,0,0,0,0,"(44.91816, -74.93598)","(44.488113, -75.074311)"
Herkimer,43,2003,13329,20,10,9,NA,NA,NA,NA,NA,"(43.1037, -74.74098)","(43.1631, -74.8741)"
Warren,113,2018,12846,37,NA,NA,0,0,0,0,0,"(43.32678, -73.82022)","(43.555105, -73.838139)"
Franklin,33,2013,12937,11,NA,NA,0,0,0,0,0,"(44.956408, -74.489215)","(44.594374, -74.31067)"
Jefferson,45,2005,13656,28,NA,NA,0,0,0,0,0,"(44.19102, -75.95556)","(44.0607, -75.9928)"
Lewis,49,2007,13619,10,NA,NA,0,0,0,0,0,"(43.980552, -75.620903)","(43.786397, -75.442617)"
Clinton,19,2007,12959,13,13,0,0,0,0,0,0,"(44.965896, -73.694298)","(44.75271, -73.705648)"
Warren,113,2007,12804,259,230,26,NA,NA,NA,NA,NA,"(43.37136, -73.6761)","(43.555105, -73.838139)"
Lewis,49,2007,13343,23,16,6,NA,NA,NA,NA,NA,"(43.73778, -75.3279)","(43.786397, -75.442617)"
St. Lawrence,89,2017,13697,27,NA,NA,0,0,0,0,0,"(44.745875, -74.805347)","(44.488113, -75.074311)"
Jefferson,45,2007,13618,12,NA,NA,0,0,0,0,0,"(44.130167, -76.32961)","(44.0607, -75.9928)"
Clinton,19,2013,12919,20,NA,NA,0,0,0,0,0,"(44.96514, -73.4343)","(44.75271, -73.705648)"
Lewis,49,2018,13327,22,NA,NA,0,0,0,0,0,"(43.899822, -75.381978)","(43.786397, -75.442617)"
Clinton,19,2008,12985,6,6,0,0,0,0,0,0,"(44.57898, -73.71612)","(44.75271, -73.705648)"
St. Lawrence,89,2005,13660,16,NA,NA,0,0,0,0,0,"(44.749316, -75.132378)","(44.488113, -75.074311)"
Franklin,33,2006,12937,14,NA,NA,0,0,0,0,0,"(44.956408, -74.489215)","(44.594374, -74.31067)"
St. Lawrence,89,2015,13652,15,NA,NA,0,0,0,0,0,"(44.472545, -75.234487)","(44.488113, -75.074311)"
Clinton,19,2015,12978,9,9,0,0,0,0,0,0,"(44.609012, -73.805908)","(44.75271, -73.705648)"
Clinton,19,2006,12985,9,NA,NA,0,0,0,0,0,"(44.57898, -73.71612)","(44.75271, -73.705648)"
Herkimer,43,2012,13331,7,7,0,0,0,0,0,0,"(43.841882, -74.878424)","(43.1631, -74.8741)"
Essex,31,2001,12997,7,NA,NA,0,0,0,0,0,"(44.388992, -73.8437)","(44.108971, -73.777573)"
